Element,SiteType,Energy (eV),Group,Electronegativity,AtomicRadius,FirstIonizationEnergy,SiteTypeCode,period,block
K,Mo1,-4.93366,1,0.82,220,4.34,1,4,115
Ca,Mo1,-9.57782,2,1,180,6.11,1,4,115
Fe,Mo1,-5.78552,8,1.83,140,7.9,1,4,100
Zn,Mo1,-6.88813,12,1.65,135,9.39,1,4,100
W,Mo1,-6.21685,6,2.36,135,7.86,1,6,100
Li,Mo1,-7.59520998,1,0.98,145,5.39,1,2,100
Sr,Mo1,-9.55996,2,0.95,200,5.69,1,5,100
Y,Mo1,-10.55320628,3,1.22,180,6.22,1,5,200
La,Mo1,-10.15598603,3,1.1,195,5.58,1,8,300
Zr,Mo1,-10.02809118,4,1.33,155,6.63,1,5,200
Ce,Mo1,-10.68835498,4,1.12,185,5.54,1,8,300
Ag,Mo1,3.880859183,11,1.93,160,7.58,1,5,200
Mn,Mo1,-6.4899175,7,1.55,140,7.43,1,4,200
P,Mo1,-7.822748967,15,2.19,100,10.49,1,3,115
F,Mo1,-9.220720713,17,3.98,50,17.42,1,2,115
Ni,Mo1,-6.361074,10,1.91,135,7.64,1,4,200
Sn,Mo1,-6.853509,14,1.96,145,7.34,1,5,115
Rh,Mo1,-4.746587078,9,2.28,135,7.46,1,5,200
Te,Mo1,-6.132758976,16,2.1,140,9.01,1,5,115
B,Mo1,-8.615477361,13,2.04,85,8.3,1,2,115
Nb,Mo1,-8.286045314,5,1.6,145,6.76,1,5,200
