Element,SiteType,Energy (eV),Group,Electronegativity,AtomicRadius,FirstIonizationEnergy,SiteTypeCode,period,block,,,,,
K,O2,-3.60125,1,0.82,220,4.34,4,4,115,,,,,
Ca,O2,-6.18836,2,1,180,6.11,4,4,115,,,,,
Fe,O2,-0.99646,8,1.83,140,7.9,4,4,100,,,,,
Zn,O2,-2.58859,12,1.65,135,9.39,4,4,100,,,,,
W,O2,-2.16804,6,2.36,135,7.86,4,6,100,,,,,
Li,O2,-5.09881272,1,0.98,145,5.39,4,2,100,,,,,
Sr,O2,-5.31129,2,0.95,200,5.69,4,5,100,,,,,
Y,O2,-7.711186277,3,1.22,180,6.22,4,5,200,,,,,
La,O2,-5.329636029,3,1.1,195,5.58,4,8,300,,,,,
Zr,O2,-4.4248246,4,1.33,155,6.63,4,5,200,,,,,
Ce,O2,-5.800968707,4,1.12,185,5.54,4,8,300,,,,,
Ag,O2,-1.912855237,11,1.93,160,7.58,4,5,200,,,,,
Mn,O2,-0.62955407,7,1.55,140,7.43,4,4,200,,,,,
P,O2,-2.735242857,15,2.19,100,10.49,4,3,115,,,,,
F,O2,-8.389382483,17,3.98,50,17.42,4,2,115,,,,,
Ni,O2,-1.24505279,10,1.91,135,7.64,4,4,200,,,,,
Sn,O2,-2.649259,14,1.96,145,7.34,4,5,115,,,,,，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，
Rh,O2,-1.014199217,9,2.28,135,7.46,4,5,200,,,,,
Te,O2,-3.601291346,16,2.1,140,9.01,4,5,115,,,,,
B,O2,-3.257715401,13,2.04,85,8.3,1,2,115,,,,,
Nb,O2,-3.637914034,5,1.6,145,6.76,1,5,200,,,,,
